question_number,question,question_type
1,How is annual leave entitlement calculated for new employees?,good
2,What is the definition of immediate family for leave purposes in this policy?,good
3,Can employees use their annual leave entitlement for travel or training purposes?,good
4,How much notice must an employee give before taking leave?,good
5,What is the maximum amount of carry forward leave that can be taken?,good
6,How long is maternity leave entitled to female employees under this policy?,good
7,What happens to an employee's leave balance if they resign or are terminated?,good
8,Under what circumstances can leave be denied?,good
9,Are there any exceptions to the general principles outlined in this policy?,good
10,Who has the final say over approving or denying a leave request?,good
11,What is the procedure for applying sick leave under this policy?,good
12,Are there any exceptions or special cases not covered by this policy?,good
13,How does the company determine when to approve or reject a leave application?,good
14,What is the entitlement for compassionate leave in this policy?,good
15,What types of leave are available to employees under this policy?,good
16,What is the maximum amount of time an employee can take off for hospitalisation?,good
17,How does the company ensure compliance with labour laws?,good
18,Can employees take leave for personal reasons not mentioned in the policy?,good
19,How much paid leave is available for medical appointments?,good
20,Can contract staff apply for leave under this policy?,good
21,How are public holidays handled under this policy?,good
22,How does the company handle marriage leave under this policy?,good
23,Can male employees take paternity leave under this policy?,good
24,What are the guidelines for supervisors to consider when approving leave requests?,good
25,Who reviews and approves leave applications?,good
26,Can employees use their annual leave balance during maternity/paternity leave?,good
27,How do public holidays affect employee work schedules and compensation?,good
28,Can employees use their annual leave balance to cover extended illness?,good
29,Can employees work on public holidays without pay?,good
30,Can employees be required to work on public holidays under this policy?,good
31,Can employees use their annual leave balance for extended illness if they have more than 5 years of service?,good
32,Can employees take study leave under this policy?,good
33,What types of leave are available to employees under this policy?,good
34,What is the maximum amount of annual leave entitlement for an employee with more than 5 years of service?,good
35,Can employees apply for study leave under this policy?,good
36,What is the process for applying for unpaid leave due to prolonged illness?,good
37,How much paid leave is available for marriage leave?,good
38,How long does an employee have to use their carry forward leave after it is carried over?,good
39,Is leave encashment allowed for employees who resign or are laid off?,good
40,What is the purpose of planning leave in advance according to the company's guiding principles?,good
41,What are the conditions for taking compassionate leave under this policy?,good
42,How does pro-rated leave work for employees who join mid-year?,good
43,How many days of marriage leave are available to employees?,good
44,"When is this policy reviewed, and what are the reasons for review?",good
45,How many weeks of maternity leave are entitled to female employees under this policy?,good
46,"Is leave encashment allowed under this policy, and if so, under what circumstances?",good
47,How does the carry forward policy work for unused leave?,good
48,Can employees take study leave at management discretion?,good
49,How many annual leave days are entitled to employees with less than 1 year of service?,good
50,What is the maximum amount of carry forward leave allowed under this policy?,good
51,What is the relationship between compassionate leave and family relationships?,good
52,How does the company handle leave for employees with disabilities under this policy?,good
53,Can employees join the company mid-year and still receive full annual leave entitlement?,good
54,Who do I contact for enquiries about this leave policy?,good
55,How is the company's approach to work-life balance reflected in this policy?,good
56,What is the process for reviewing and updating this leave policy?,good
57,Can employees be granted unpaid leave under exceptional circumstances?,good
58,Under what circumstances can an employee encash unused leave?,good
59,How does the company ensure fair and consistent application of leave policies across all employees?,good
60,What is the procedure for applying leave via the HR system?,good
61,How often is this leave policy reviewed to ensure compliance with labour laws and company practices?,good
62,How does the company's leave policy align with its overall business objectives?,good
63,"How much notice must an employee give before taking leave, according to the application process?",good
64,What happens to unpaid leave under this policy?,good
65,How is the policy reviewed and updated annually?,good
66,Can male employees take paternity leave under this policy?,good
67,How does the company handle leave encashment in cases where an employee resigns or leaves the company?,good
68,Can employees take leave for bereavement of a family member?,good
69,What are the conditions for taking leave due to an immediate family member's illness or injury?,good
70,Can employees carry forward more than 5 days of leave?,good
71,Can employees take study leave without management approval?,good
72,What types of leave are available to employees under this policy?,good
73,Can employees take time off for medical appointments during working hours?,good
74,Can employees take leave for medical appointments during working hours?,good
75,What is the process for submitting a leave application via the HR system?,good
76,How does this policy align with labour laws and company practices?,good
77,Who can an employee contact with questions or concerns about this leave policy?,good
78,How long does an employee need to provide a medical certificate for sick leave?,good
79,"What is the purpose of the Leave Policy, according to the company's commitment?",good
80,How many days of marriage leave are entitled to employees under this policy?,good
81,How is annual leave entitlement calculated for new employees?,good
82,"How often is this leave policy reviewed and updated, according to the company's guidelines?",good
83,What is the process for submitting a leave application?,good
84,What are the requirements for taking compassionate leave?,good
85,Can employees take leave for extended illness under this policy?,good
86,How far in advance must an employee submit their leave application?,good
87,What happens to unused leave after the 5-day carry-forward limit is reached?,good
88,What is the process for submitting a leave application via the HR system?,good
89,How many days of outpatient leave are entitled to employees under this policy?,good
90,Who can employees contact with questions or concerns about this leave policy?,good
91,Who has the final say in approving or denying leave requests under this policy?,good
92,Can supervisors approve or reject leave applications based on business needs and workload?,good
93,How much notice is required when applying for leave?,good
94,Can employees take leave for bereavement under this policy?,good
95,What are the conditions for taking sick leave under this policy?,good
96,What is the maximum amount of time an employee can take for extended illness?,good
97,What types of leave are available to employees under this policy?,good
98,How does the company define a working day for leave purposes?,good
99,Can employees carry forward more than 5 days of leave?,good
100,Can an employee take time off for medical appointments without using sick leave?,good
